passport,destination,visa_requirement
Palestinian Territory,North Macedonia,Visa Required
Palestinian Territory,Madagascar,Visa Required
Palestinian Territory,Malawi,Visa Required
Palestinian Territory,Mali,Visa Required
Palestinian Territory,Malta,Visa Required
Palestinian Territory,Marshall Islands,Visa Required
Palestinian Territory,Mauritius,Visa Required
Palestinian Territory,Mayotte,Visa Required
Palestinian Territory,Mexico,Visa Required
Palestinian Territory,Monaco,Visa Required
Palestinian Territory,Mongolia,Visa Required
Palestinian Territory,Montenegro,Visa Required
Palestinian Territory,Morocco,Visa Required
Palestinian Territory,Myanmar,Visa Required
Palestinian Territory,Namibia,Visa Required
Palestinian Territory,Nauru,Visa Required
Palestinian Territory,Nepal,Visa Required
Palestinian Territory,Netherlands,Visa Required
Palestinian Territory,New Caledonia,Visa Required
Palestinian Territory,New Zealand,Visa Required
Palestinian Territory,Niger,Visa Required
Palestinian Territory,North Korea,Visa Required
Palestinian Territory,Northern Mariana Islands,Visa Required
Palestinian Territory,Norway,Visa Required
Palestinian Territory,Panama,Visa Required
Palestinian Territory,Papua New Guinea,Visa Required
Palestinian Territory,Paraguay,Visa Required
Palestinian Territory,Peru,Visa Required
Palestinian Territory,Philippines,Visa Required
Palestinian Territory,Poland,Visa Required
Palestinian Territory,Portugal,Visa Required
Palestinian Territory,Puerto Rico,Visa Required
Palestinian Territory,Reunion,Visa Required
Palestinian Territory,Romania,Visa Required
Palestinian Territory,Russian Federation,Visa Required
Palestinian Territory,American Samoa,Visa Required
Palestinian Territory,San Marino,Visa Required
Palestinian Territory,Saudi Arabia,Visa Required
Palestinian Territory,Serbia,Visa Required
Palestinian Territory,Sierra Leone,Visa Required
Palestinian Territory,Slovakia,Visa Required
Palestinian Territory,Slovenia,Visa Required
Palestinian Territory,Solomon Islands,Visa Required
Palestinian Territory,South Korea,Visa Required
Palestinian Territory,South Sudan,Visa Required
Palestinian Territory,Spain,Visa Required
Palestinian Territory,St. Helena,Visa Required
Palestinian Territory,St. Maarten,Visa Required
Palestinian Territory,Sudan,Visa Required
Palestinian Territory,Sweden,Visa Required
Palestinian Territory,Switzerland,Visa Required
Palestinian Territory,Taiwan (Chinese Taipei),Visa Required
Palestinian Territory,Tonga,Visa Required
Palestinian Territory,Trinidad and Tobago,Visa Required
Palestinian Territory,Tunisia,Visa Required
Palestinian Territory,Turkmenistan,Visa Required
Palestinian Territory,Turks and Caicos Islands,Visa Required
Palestinian Territory,Ukraine,Visa Required
Palestinian Territory,United Kingdom,Visa Required
Palestinian Territory,United States,Visa Required
Palestinian Territory,Uruguay,Visa Required
Palestinian Territory,Vanuatu,Visa Required
Palestinian Territory,Vatican City,Visa Required
Palestinian Territory,British Virgin Islands,Visa Required
Palestinian Territory,US Virgin Islands,Visa Required
Palestinian Territory,Yemen,Visa Required
Palestinian Territory,St. Lucia,Visa Required
Palestinian Territory,Uzbekistan,Visa Required
Palestinian Territory,Kuwait,Visa Required
Palestinian Territory,Lesotho,Visa Required
Palestinian Territory,Antigua and Barbuda,Online Visa
Palestinian Territory,Australia,Online Visa
Palestinian Territory,Azerbaijan,Online Visa
Palestinian Territory,Benin,Online Visa
Palestinian Territory,Colombia,Online Visa
Palestinian Territory,Ethiopia,Online Visa
Palestinian Territory,Gabon,Online Visa
Palestinian Territory,India,Online Visa
Palestinian Territory,Kyrgyzstan,Online Visa
Palestinian Territory,Moldova,Online Visa
Palestinian Territory,Montserrat,Online Visa
Palestinian Territory,Oman,Online Visa
Palestinian Territory,Qatar,Online Visa
Palestinian Territory,Sao Tome and Principe,Online Visa
Palestinian Territory,St. Kitts and Nevis,Online Visa
Palestinian Territory,Tajikistan,Online Visa
Palestinian Territory,Türkiye,Online Visa
Palestinian Territory,United Arab Emirates,Online Visa
Palestinian Territory,Zambia,Online Visa
Palestinian Territory,Uganda,Online Visa
Palestinian Territory,Albania,Online Visa
Palestinian Territory,Vietnam,Online Visa
Palestinian Territory,Guinea,Online Visa
Palestinian Territory,Botswana,Online Visa
Palestinian Territory,Bahrain,Online Visa
Palestinian Territory,Cameroon,Online Visa
Palestinian Territory,Equatorial Guinea,Online Visa
Palestinian Territory,Togo,Online Visa
Palestinian Territory,Syria,Online Visa
Palestinian Territory,Tanzania,Online Visa
Palestinian Territory,Bahamas,Online Visa
Palestinian Territory,Thailand,Online Visa
Palestinian Territory,Singapore,Online Visa
Palestinian Territory,Pakistan,Online Visa
Palestinian Territory,Burkina Faso,Online Visa
Palestinian Territory,Mauritania,Online Visa
Palestinian Territory,Congo (Dem. Rep.),Online Visa
Palestinian Territory,Nigeria,Online Visa
Palestinian Territory,Liberia,Online Visa
Palestinian Territory,Cuba,Online Visa
Palestinian Territory,Bangladesh,Visa on Arrival
Palestinian Territory,Burundi,Visa on Arrival
Palestinian Territory,Cambodia,Visa on Arrival
Palestinian Territory,Cape Verde Islands,Visa on Arrival
Palestinian Territory,Comoro Islands,Visa on Arrival
Palestinian Territory,Guinea-Bissau,Visa on Arrival
Palestinian Territory,Iran,Visa on Arrival
Palestinian Territory,Laos,Visa on Arrival
Palestinian Territory,Macao (SAR China),Visa on Arrival
Palestinian Territory,Maldives,Visa on Arrival
Palestinian Territory,Mozambique,Visa on Arrival
Palestinian Territory,Palau Islands,Visa on Arrival
Palestinian Territory,Rwanda,Visa on Arrival
Palestinian Territory,Samoa,Visa on Arrival
Palestinian Territory,Senegal,Visa on Arrival
Palestinian Territory,Somalia,Visa on Arrival
Palestinian Territory,Timor-Leste,Visa on Arrival
Palestinian Territory,Tuvalu,Visa on Arrival
Palestinian Territory,Zimbabwe,Visa on Arrival
Palestinian Territory,Indonesia,Visa on Arrival
Palestinian Territory,Djibouti,Visa on Arrival
Palestinian Territory,Bolivia,Visa-Free Access
Palestinian Territory,Cook Islands,Visa-Free Access
Palestinian Territory,Dominica,Visa-Free Access
Palestinian Territory,Ecuador,Visa-Free Access
Palestinian Territory,Jordan,Visa-Free Access
Palestinian Territory,Malaysia,Visa-Free Access
Palestinian Territory,Micronesia,Visa-Free Access
Palestinian Territory,Nicaragua,Visa-Free Access
Palestinian Territory,Niue,Visa-Free Access
Palestinian Territory,St. Vincent and the Grenadines,Visa-Free Access
Palestinian Territory,eSwatini,Visa-Free Access
Palestinian Territory,Venezuela,Visa-Free Access
Palestinian Territory,Suriname,Visa-Free Access
Palestinian Territory,Haiti,Visa-Free Access
Palestinian Territory,South Africa,Visa-Free Access
Palestinian Territory,Sri Lanka,Electronic Travel Authorization
Palestinian Territory,Kenya,Electronic Travel Authorization
Palestinian Territory,Seychelles,Electronic Travel Authorization
Andorra,Afghanistan,Visa Required
Andorra,Algeria,Visa Required
Andorra,Bhutan,Visa Required
Andorra,Brunei,Visa Required
Andorra,Central African Republic,Visa Required
Andorra,Chad,Visa Required
Andorra,Congo (Rep.),Visa Required
Andorra,Cote d'Ivoire,Visa Required
Andorra,Eritrea,Visa Required
Andorra,Fiji,Visa Required
Andorra,Ghana,Visa Required
Andorra,Grenada,Visa Required
Andorra,Guyana,Visa Required
Andorra,Iraq,Visa Required
Andorra,Kiribati,Visa Required
Andorra,Libya,Visa Required
Andorra,Mali,Visa Required
Andorra,Mongolia,Visa Required
Andorra,Myanmar,Visa Required
Andorra,Namibia,Visa Required
Andorra,Nauru,Visa Required
Andorra,Niger,Visa Required
Andorra,North Korea,Visa Required
Andorra,Sierra Leone,Visa Required
Andorra,South Sudan,Visa Required
Andorra,Sudan,Visa Required
Andorra,Tonga,Visa Required
Andorra,Trinidad and Tobago,Visa Required
Andorra,Turkmenistan,Visa Required
Andorra,Turks and Caicos Islands,Visa Required
Andorra,Yemen,Visa Required
Andorra,Lesotho,Visa Required
Andorra,Angola,Online Visa
Andorra,Azerbaijan,Online Visa
Andorra,Benin,Online Visa
Andorra,Ethiopia,Online Visa
Andorra,Gabon,Online Visa
Andorra,India,Online Visa
Andorra,Pakistan,Online Visa
Andorra,St. Kitts and Nevis,Online Visa
Andorra,Vietnam,Online Visa
Andorra,Uganda,Online Visa
Andorra,Papua New Guinea,Online Visa
Andorra,Guinea,Online Visa
Andorra,Botswana,Online Visa
Andorra,Cameroon,Online Visa
Andorra,Equatorial Guinea,Online Visa
Andorra,Togo,Online Visa
Andorra,Syria,Online Visa
Andorra,Cuba,Online Visa
Andorra,Burkina Faso,Online Visa
Andorra,Mauritania,Online Visa
Andorra,Congo (Dem. Rep.),Online Visa
Andorra,Nigeria,Online Visa
Andorra,Liberia,Online Visa
Andorra,Bahrain,Visa on Arrival
Andorra,Bangladesh,Visa on Arrival
Andorra,Burundi,Visa on Arrival
Andorra,Cambodia,Visa on Arrival
Andorra,Cape Verde Islands,Visa on Arrival
Andorra,Comoro Islands,Visa on Arrival
Andorra,Egypt,Visa on Arrival
Andorra,Guinea-Bissau,Visa on Arrival
Andorra,Iran,Visa on Arrival
Andorra,Jamaica,Visa on Arrival
Andorra,Jordan,Visa on Arrival
Andorra,Kuwait,Visa on Arrival
Andorra,Kyrgyzstan,Visa on Arrival
Andorra,Laos,Visa on Arrival
Andorra,Lebanon,Visa on Arrival
Andorra,Malawi,Visa on Arrival
Andorra,Maldives,Visa on Arrival
Andorra,Marshall Islands,Visa on Arrival
Andorra,Mauritius,Visa on Arrival
Andorra,Mozambique,Visa on Arrival
Andorra,Nepal,Visa on Arrival
Andorra,Palau Islands,Visa on Arrival
Andorra,Samoa,Visa on Arrival
Andorra,Saudi Arabia,Visa on Arrival
Andorra,Solomon Islands,Visa on Arrival
Andorra,Somalia,Visa on Arrival
Andorra,St. Helena,Visa on Arrival
Andorra,Tanzania,Visa on Arrival
Andorra,Timor-Leste,Visa on Arrival
Andorra,Tuvalu,Visa on Arrival
Andorra,United Arab Emirates,Visa on Arrival
Andorra,Zimbabwe,Visa on Arrival
Andorra,Indonesia,Visa on Arrival
Andorra,Djibouti,Visa on Arrival
Andorra,Qatar,Visa on Arrival
Andorra,Japan,Visa-Free Access
Andorra,Albania,Visa-Free Access
Andorra,Anguilla,Visa-Free Access
Andorra,Antigua and Barbuda,Visa-Free Access
Andorra,Argentina,Visa-Free Access
Andorra,Armenia,Visa-Free Access
Andorra,Aruba,Visa-Free Access
Andorra,Austria,Visa-Free Access
Andorra,Bahamas,Visa-Free Access
Andorra,Belarus,Visa-Free Access
Andorra,Belgium,Visa-Free Access
Andorra,Belize,Visa-Free Access
Andorra,Bermuda,Visa-Free Access
Andorra,Bolivia,Visa-Free Access
Andorra,Bonaire; St. Eustatius and Saba,Visa-Free Access
Andorra,Bosnia and Herzegovina,Visa-Free Access
Andorra,Brazil,Visa-Free Access
Andorra,Bulgaria,Visa-Free Access
Andorra,Cayman Islands,Visa-Free Access
Andorra,Chile,Visa-Free Access
Andorra,Colombia,Visa-Free Access
Andorra,Cook Islands,Visa-Free Access
Andorra,Costa Rica,Visa-Free Access
Andorra,Croatia,Visa-Free Access
Andorra,Curacao,Visa-Free Access
Andorra,Cyprus,Visa-Free Access
Andorra,Czechia,Visa-Free Access
Andorra,Denmark,Visa-Free Access
Andorra,Dominica,Visa-Free Access
Andorra,Dominican Republic,Visa-Free Access
Andorra,Ecuador,Visa-Free Access
Andorra,El Salvador,Visa-Free Access
Andorra,Estonia,Visa-Free Access
Andorra,Falkland Islands,Visa-Free Access
Andorra,Faroe Islands,Visa-Free Access
Andorra,Finland,Visa-Free Access
Andorra,France,Visa-Free Access
Andorra,French Guiana,Visa-Free Access
Andorra,French Polynesia,Visa-Free Access
Andorra,French West Indies,Visa-Free Access
Andorra,The Gambia,Visa-Free Access
Andorra,Georgia,Visa-Free Access
Andorra,Germany,Visa-Free Access
Andorra,Gibraltar,Visa-Free Access
Andorra,Greece,Visa-Free Access
Andorra,Greenland,Visa-Free Access
Andorra,Guatemala,Visa-Free Access
Andorra,Haiti,Visa-Free Access
Andorra,Honduras,Visa-Free Access
Andorra,Hong Kong (SAR China),Visa-Free Access
Andorra,Hungary,Visa-Free Access
Andorra,Iceland,Visa-Free Access
Andorra,Ireland,Visa-Free Access
Andorra,Italy,Visa-Free Access
Andorra,Kosovo,Visa-Free Access
Andorra,Latvia,Visa-Free Access
Andorra,Liechtenstein,Visa-Free Access
Andorra,Lithuania,Visa-Free Access
Andorra,Luxembourg,Visa-Free Access
Andorra,Macao (SAR China),Visa-Free Access
Andorra,North Macedonia,Visa-Free Access
Andorra,Malaysia,Visa-Free Access
Andorra,Malta,Visa-Free Access
Andorra,Mayotte,Visa-Free Access
Andorra,Mexico,Visa-Free Access
Andorra,Micronesia,Visa-Free Access
Andorra,Moldova,Visa-Free Access
Andorra,Monaco,Visa-Free Access
Andorra,Montenegro,Visa-Free Access
Andorra,Montserrat,Visa-Free Access
Andorra,Morocco,Visa-Free Access
Andorra,Netherlands,Visa-Free Access
Andorra,New Caledonia,Visa-Free Access
Andorra,Nicaragua,Visa-Free Access
Andorra,Niue,Visa-Free Access
Andorra,Norway,Visa-Free Access
Andorra,Oman,Visa-Free Access
Andorra,Palestinian Territory,Visa-Free Access
Andorra,Panama,Visa-Free Access
Andorra,Paraguay,Visa-Free Access
Andorra,Peru,Visa-Free Access
Andorra,Philippines,Visa-Free Access
Andorra,Poland,Visa-Free Access
Andorra,Portugal,Visa-Free Access
Andorra,Reunion,Visa-Free Access
Andorra,Romania,Visa-Free Access
Andorra,San Marino,Visa-Free Access
Andorra,Sao Tome and Principe,Visa-Free Access
Andorra,Senegal,Visa-Free Access
Andorra,Serbia,Visa-Free Access
Andorra,Singapore,Visa-Free Access
Andorra,Slovakia,Visa-Free Access
Andorra,Slovenia,Visa-Free Access
Andorra,South Africa,Visa-Free Access
Andorra,Spain,Visa-Free Access
Andorra,St. Lucia,Visa-Free Access
Andorra,St. Maarten,Visa-Free Access
Andorra,St. Vincent and the Grenadines,Visa-Free Access
Andorra,eSwatini,Visa-Free Access
Andorra,Sweden,Visa-Free Access
Andorra,Switzerland,Visa-Free Access
Andorra,Taiwan (Chinese Taipei),Visa-Free Access
Andorra,Tunisia,Visa-Free Access
Andorra,Türkiye,Visa-Free Access
Andorra,Ukraine,Visa-Free Access
Andorra,Uruguay,Visa-Free Access
Andorra,Uzbekistan,Visa-Free Access
Andorra,Vanuatu,Visa-Free Access
Andorra,Vatican City,Visa-Free Access
Andorra,Venezuela,Visa-Free Access
Andorra,British Virgin Islands,Visa-Free Access
Andorra,Suriname,Visa-Free Access
Andorra,Barbados,Visa-Free Access
Andorra,Rwanda,Visa-Free Access
Andorra,Madagascar,Visa-Free Access
Andorra,Kazakhstan,Visa-Free Access
Andorra,Tajikistan,Visa-Free Access
Andorra,Thailand,Visa-Free Access
Andorra,Zambia,Visa-Free Access
Andorra,China,Visa-Free Access
Andorra,Australia,Electronic Travel Authorization
Andorra,Canada,Electronic Travel Authorization
Andorra,Guam,Electronic Travel Authorization
Andorra,New Zealand,Electronic Travel Authorization
Andorra,Northern Mariana Islands,Electronic Travel Authorization
Andorra,Puerto Rico,Electronic Travel Authorization
Andorra,American Samoa,Electronic Travel Authorization
Andorra,Sri Lanka,Electronic Travel Authorization
Andorra,United States,Electronic Travel Authorization
Andorra,US Virgin Islands,Electronic Travel Authorization
Andorra,South Korea,Electronic Travel Authorization
Andorra,Kenya,Electronic Travel Authorization
Andorra,Seychelles,Electronic Travel Authorization
Andorra,Israel,Electronic Travel Authorization
Andorra,United Kingdom,Electronic Travel Authorization
Andorra,Russian Federation,Electronic Travel Authorization
Vatican City,Afghanistan,Visa Required
Vatican City,Algeria,Visa Required
Vatican City,Anguilla,Visa Required
Vatican City,Barbados,Visa Required
Vatican City,Bhutan,Visa Required
Vatican City,Brunei,Visa Required
Vatican City,Cayman Islands,Visa Required
Vatican City,Central African Republic,Visa Required
Vatican City,Chad,Visa Required
Vatican City,China,Visa Required
Vatican City,Congo (Rep.),Visa Required
Vatican City,Cote d'Ivoire,Visa Required
Vatican City,Eritrea,Visa Required
Vatican City,Ghana,Visa Required
Vatican City,Guam,Visa Required
Vatican City,Guyana,Visa Required
Vatican City,Iraq,Visa Required
Vatican City,Jamaica,Visa Required
Vatican City,Japan,Visa Required
Vatican City,Kiribati,Visa Required
Vatican City,Lebanon,Visa Required
Vatican City,Libya,Visa Required
Vatican City,Mali,Visa Required
Vatican City,Mongolia,Visa Required
Vatican City,Morocco,Visa Required
Vatican City,Myanmar,Visa Required
Vatican City,Nauru,Visa Required
Vatican City,Niger,Visa Required
Vatican City,North Korea,Visa Required
Vatican City,Northern Mariana Islands,Visa Required
Vatican City,Paraguay,Visa Required
Vatican City,Puerto Rico,Visa Required
Vatican City,American Samoa,Visa Required
Vatican City,Saudi Arabia,Visa Required
Vatican City,Sierra Leone,Visa Required
Vatican City,Solomon Islands,Visa Required
Vatican City,South Africa,Visa Required
Vatican City,South Sudan,Visa Required
Vatican City,St. Lucia,Visa Required
Vatican City,Sudan,Visa Required
Vatican City,Tonga,Visa Required
Vatican City,Trinidad and Tobago,Visa Required
Vatican City,Turkmenistan,Visa Required
Vatican City,United States,Visa Required
Vatican City,Venezuela,Visa Required
Vatican City,US Virgin Islands,Visa Required
Vatican City,Yemen,Visa Required
Vatican City,Israel,Visa Required
Vatican City,Lesotho,Visa Required
Vatican City,Azerbaijan,Online Visa
Vatican City,Benin,Online Visa
Vatican City,Egypt,Online Visa
Vatican City,Ethiopia,Online Visa
Vatican City,Gabon,Online Visa
Vatican City,India,Online Visa
Vatican City,Pakistan,Online Visa
Vatican City,Russian Federation,Online Visa
Vatican City,Vietnam,Online Visa
Vatican City,Uganda,Online Visa
Vatican City,Papua New Guinea,Online Visa
Vatican City,Guinea,Online Visa
Vatican City,Cameroon,Online Visa
Vatican City,Equatorial Guinea,Online Visa
Vatican City,Togo,Online Visa
Vatican City,Syria,Online Visa
Vatican City,Cuba,Online Visa
Vatican City,Thailand,Online Visa
Vatican City,Burkina Faso,Online Visa
Vatican City,Mauritania,Online Visa
Vatican City,Congo (Dem. Rep.),Online Visa
Vatican City,Nigeria,Online Visa
Vatican City,Liberia,Online Visa
Vatican City,Bahrain,Visa on Arrival
Vatican City,Bangladesh,Visa on Arrival
Vatican City,Burundi,Visa on Arrival
Vatican City,Cambodia,Visa on Arrival
Vatican City,Cape Verde Islands,Visa on Arrival
Vatican City,Comoro Islands,Visa on Arrival
Vatican City,Guinea-Bissau,Visa on Arrival
Vatican City,Iran,Visa on Arrival
Vatican City,Jordan,Visa on Arrival
Vatican City,Kuwait,Visa on Arrival
Vatican City,Laos,Visa on Arrival
Vatican City,Macao (SAR China),Visa on Arrival
Vatican City,Malawi,Visa on Arrival
Vatican City,Maldives,Visa on Arrival
Vatican City,Marshall Islands,Visa on Arrival
Vatican City,Mozambique,Visa on Arrival
Vatican City,Nepal,Visa on Arrival
Vatican City,Palau Islands,Visa on Arrival
Vatican City,Rwanda,Visa on Arrival
Vatican City,Samoa,Visa on Arrival
Vatican City,Somalia,Visa on Arrival
Vatican City,St. Helena,Visa on Arrival
Vatican City,Tanzania,Visa on Arrival
Vatican City,Timor-Leste,Visa on Arrival
Vatican City,Tuvalu,Visa on Arrival
Vatican City,United Arab Emirates,Visa on Arrival
Vatican City,Zimbabwe,Visa on Arrival
Vatican City,Indonesia,Visa on Arrival
Vatican City,Djibouti,Visa on Arrival
Vatican City,Namibia,Visa on Arrival
Vatican City,Qatar,Visa on Arrival
Vatican City,Albania,Visa-Free Access
Vatican City,Andorra,Visa-Free Access
Vatican City,Antigua and Barbuda,Visa-Free Access
Vatican City,Argentina,Visa-Free Access
Vatican City,Armenia,Visa-Free Access
Vatican City,Aruba,Visa-Free Access
Vatican City,Austria,Visa-Free Access
Vatican City,Bahamas,Visa-Free Access
Vatican City,Belarus,Visa-Free Access
Vatican City,Belgium,Visa-Free Access
Vatican City,Belize,Visa-Free Access
Vatican City,Bermuda,Visa-Free Access
Vatican City,Bolivia,Visa-Free Access
Vatican City,Bonaire; St. Eustatius and Saba,Visa-Free Access
Vatican City,Bosnia and Herzegovina,Visa-Free Access
Vatican City,Botswana,Visa-Free Access
Vatican City,Brazil,Visa-Free Access
Vatican City,Bulgaria,Visa-Free Access
Vatican City,Chile,Visa-Free Access
Vatican City,Colombia,Visa-Free Access
Vatican City,Cook Islands,Visa-Free Access
Vatican City,Costa Rica,Visa-Free Access
Vatican City,Croatia,Visa-Free Access
Vatican City,Curacao,Visa-Free Access
Vatican City,Cyprus,Visa-Free Access
Vatican City,Czechia,Visa-Free Access
Vatican City,Denmark,Visa-Free Access
Vatican City,Dominica,Visa-Free Access
Vatican City,Dominican Republic,Visa-Free Access
Vatican City,Ecuador,Visa-Free Access
Vatican City,El Salvador,Visa-Free Access
Vatican City,Estonia,Visa-Free Access
Vatican City,Falkland Islands,Visa-Free Access
Vatican City,Faroe Islands,Visa-Free Access
Vatican City,Fiji,Visa-Free Access
Vatican City,Finland,Visa-Free Access
Vatican City,France,Visa-Free Access
Vatican City,French Guiana,Visa-Free Access
Vatican City,French Polynesia,Visa-Free Access
Vatican City,French West Indies,Visa-Free Access
Vatican City,The Gambia,Visa-Free Access
Vatican City,Georgia,Visa-Free Access
Vatican City,Germany,Visa-Free Access
Vatican City,Gibraltar,Visa-Free Access
Vatican City,Greece,Visa-Free Access
Vatican City,Greenland,Visa-Free Access
Vatican City,Grenada,Visa-Free Access
Vatican City,Guatemala,Visa-Free Access
Vatican City,Haiti,Visa-Free Access
Vatican City,Honduras,Visa-Free Access
Vatican City,Hong Kong (SAR China),Visa-Free Access
Vatican City,Hungary,Visa-Free Access
Vatican City,Iceland,Visa-Free Access
Vatican City,Ireland,Visa-Free Access
Vatican City,Italy,Visa-Free Access
Vatican City,Kazakhstan,Visa-Free Access
Vatican City,Kosovo,Visa-Free Access
Vatican City,Kyrgyzstan,Visa-Free Access
Vatican City,Latvia,Visa-Free Access
Vatican City,Liechtenstein,Visa-Free Access
Vatican City,Lithuania,Visa-Free Access
Vatican City,Luxembourg,Visa-Free Access
Vatican City,North Macedonia,Visa-Free Access
Vatican City,Malaysia,Visa-Free Access
Vatican City,Malta,Visa-Free Access
Vatican City,Mauritius,Visa-Free Access
Vatican City,Mayotte,Visa-Free Access
Vatican City,Mexico,Visa-Free Access
Vatican City,Micronesia,Visa-Free Access
Vatican City,Moldova,Visa-Free Access
Vatican City,Monaco,Visa-Free Access
Vatican City,Montenegro,Visa-Free Access
Vatican City,Montserrat,Visa-Free Access
Vatican City,Netherlands,Visa-Free Access
Vatican City,New Caledonia,Visa-Free Access
Vatican City,Nicaragua,Visa-Free Access
Vatican City,Niue,Visa-Free Access
Vatican City,Norway,Visa-Free Access
Vatican City,Oman,Visa-Free Access
Vatican City,Palestinian Territory,Visa-Free Access
Vatican City,Panama,Visa-Free Access
Vatican City,Peru,Visa-Free Access
Vatican City,Philippines,Visa-Free Access
Vatican City,Poland,Visa-Free Access
Vatican City,Portugal,Visa-Free Access
Vatican City,Reunion,Visa-Free Access
Vatican City,Romania,Visa-Free Access
Vatican City,San Marino,Visa-Free Access
Vatican City,Sao Tome and Principe,Visa-Free Access
Vatican City,Senegal,Visa-Free Access
Vatican City,Serbia,Visa-Free Access
Vatican City,Singapore,Visa-Free Access
Vatican City,Slovakia,Visa-Free Access
Vatican City,Slovenia,Visa-Free Access
Vatican City,Spain,Visa-Free Access
Vatican City,St. Maarten,Visa-Free Access
Vatican City,St. Vincent and the Grenadines,Visa-Free Access
Vatican City,eSwatini,Visa-Free Access
Vatican City,Sweden,Visa-Free Access
Vatican City,Switzerland,Visa-Free Access
Vatican City,Taiwan (Chinese Taipei),Visa-Free Access
Vatican City,Tunisia,Visa-Free Access
Vatican City,Türkiye,Visa-Free Access
Vatican City,Turks and Caicos Islands,Visa-Free Access
Vatican City,Ukraine,Visa-Free Access
Vatican City,Uruguay,Visa-Free Access
Vatican City,Uzbekistan,Visa-Free Access
Vatican City,Vanuatu,Visa-Free Access
Vatican City,British Virgin Islands,Visa-Free Access
Vatican City,Suriname,Visa-Free Access
Vatican City,Madagascar,Visa-Free Access
Vatican City,Angola,Visa-Free Access
Vatican City,Tajikistan,Visa-Free Access
Vatican City,Zambia,Visa-Free Access
Vatican City,Australia,Electronic Travel Authorization
Vatican City,Canada,Electronic Travel Authorization
Vatican City,New Zealand,Electronic Travel Authorization
Vatican City,Sri Lanka,Electronic Travel Authorization
Vatican City,South Korea,Electronic Travel Authorization
Vatican City,Kenya,Electronic Travel Authorization
Vatican City,Seychelles,Electronic Travel Authorization
Vatican City,United Kingdom,Electronic Travel Authorization
Vatican City,St. Kitts and Nevis,Electronic Travel Authorization
San Marino,Afghanistan,Visa Required
San Marino,Algeria,Visa Required
